stamp_ns,module,duration_ms
1776241275086113175,scan2MapOptimization,22.903
1776241275283757805,scan2MapOptimization,22.267
1776241275491138108,scan2MapOptimization,25.276
1776241275694599903,scan2MapOptimization,25.693
1776241275893797440,scan2MapOptimization,23.969
1776241276085394009,scan2MapOptimization,20.935
1776241276287767107,scan2MapOptimization,19.561
1776241276485839197,scan2MapOptimization,20.043
1776241276690043194,scan2MapOptimization,23.244
1776241276893041245,scan2MapOptimization,25.443
1776241277094818627,scan2MapOptimization,25.509
1776241277292080400,scan2MapOptimization,25.878
1776241277485698264,scan2MapOptimization,20.468
1776241277690571018,scan2MapOptimization,23.198
1776241277884975406,scan2MapOptimization,20.045
1776241278089440438,scan2MapOptimization,24.032
1776241278292787773,scan2MapOptimization,24.871
1776241278503801800,scan2MapOptimization,30.711
1776241278688288335,scan2MapOptimization,21.242
1776241278889814340,scan2MapOptimization,21.863
1776241279088508981,scan2MapOptimization,23.261
1776241279285638314,scan2MapOptimization,20.869
1776241279492169976,scan2MapOptimization,25.118
1776241279691760975,scan2MapOptimization,23.497
1776241279884014497,scan2MapOptimization,19.844
1776241280093811984,scan2MapOptimization,23.802
1776241280284805679,scan2MapOptimization,19.636
1776241280498036014,scan2MapOptimization,25.731
1776241280687542276,scan2MapOptimization,20.080
1776241280886555275,scan2MapOptimization,19.936
1776241281091584489,scan2MapOptimization,22.399
1776241281297524467,scan2MapOptimization,24.459
1776241281489367299,scan2MapOptimization,22.434
1776241281696012965,scan2MapOptimization,27.782
1776241281894521825,scan2MapOptimization,24.038
1776241282090724765,scan2MapOptimization,23.203
1776241282291749601,scan2MapOptimization,25.179
1776241282496513114,scan2MapOptimization,24.861
1776241282688291646,scan2MapOptimization,23.083
1776241282896861552,scan2MapOptimization,26.065
1776241283104389517,scan2MapOptimization,31.890
1776241283300311800,scan2MapOptimization,29.266
1776241283498036275,scan2MapOptimization,24.582
1776241283689540392,scan2MapOptimization,21.033
1776241283894321576,scan2MapOptimization,24.065
1776241284098235663,scan2MapOptimization,28.178
1776241284292275101,scan2MapOptimization,24.533
1776241284493246429,scan2MapOptimization,24.769
1776241284689874485,scan2MapOptimization,21.690
1776241284889777815,scan2MapOptimization,22.923
1776241285092925751,scan2MapOptimization,25.404
1776241285289418624,scan2MapOptimization,19.664
1776241285489507486,scan2MapOptimization,23.064
1776241285687089729,scan2MapOptimization,20.434
1776241285892329637,scan2MapOptimization,24.858
1776241286098376403,scan2MapOptimization,27.087
1776241286300331894,scan2MapOptimization,25.269
1776241286495120425,scan2MapOptimization,21.077
1776241286695974677,scan2MapOptimization,25.050
1776241286891142167,scan2MapOptimization,24.398
1776241287096970705,scan2MapOptimization,23.160
1776241287290571809,scan2MapOptimization,22.283
1776241287490769589,scan2MapOptimization,23.192
1776241287693184080,scan2MapOptimization,27.389
1776241287895823093,scan2MapOptimization,29.066
1776241288094124100,scan2MapOptimization,26.879
1776241288301644916,scan2MapOptimization,25.975
1776241288494398479,scan2MapOptimization,25.142
1776241288696654355,scan2MapOptimization,25.152
1776241288895395124,scan2MapOptimization,21.714
1776241289094218291,scan2MapOptimization,24.693
1776241289290321385,scan2MapOptimization,24.645
1776241289499211332,scan2MapOptimization,26.950
1776241289688068067,scan2MapOptimization,20.037
1776241289896481655,scan2MapOptimization,22.230
1776241290082245598,scan2MapOptimization,17.389
1776241290294271198,scan2MapOptimization,24.032
1776241290489846505,scan2MapOptimization,19.742
1776241290702115628,scan2MapOptimization,28.088
1776241290880925844,scan2MapOptimization,13.998
1776241291092513637,scan2MapOptimization,19.729
1776241291291508685,scan2MapOptimization,21.132
1776241291484557057,scan2MapOptimization,18.657
1776241291694217157,scan2MapOptimization,22.398
1776241291894610375,scan2MapOptimization,21.794
1776241292087981278,scan2MapOptimization,20.800
1776241292288078513,scan2MapOptimization,19.127
1776241292488835034,scan2MapOptimization,21.969
1776241292689871900,scan2MapOptimization,19.113
1776241292880663116,scan2MapOptimization,15.857
1776241293087559357,scan2MapOptimization,21.388
1776241293287884563,scan2MapOptimization,20.263
1776241293487637203,scan2MapOptimization,22.540
1776241293690530635,scan2MapOptimization,19.806
1776241293885757400,scan2MapOptimization,20.102
1776241294083917777,scan2MapOptimization,17.548
1776241294286932331,scan2MapOptimization,17.115
1776241294495146264,scan2MapOptimization,30.375
1776241294695362157,scan2MapOptimization,25.862
1776241294893442231,scan2MapOptimization,26.266
1776241295097374488,scan2MapOptimization,28.163
1776241295292340003,scan2MapOptimization,26.541
1776241295496693332,scan2MapOptimization,24.749
1776241295695955408,scan2MapOptimization,23.501
1776241295891063468,scan2MapOptimization,23.997
1776241296090697418,scan2MapOptimization,23.185
1776241296293985241,scan2MapOptimization,26.381
1776241296493867854,scan2MapOptimization,25.699
1776241296697278600,scan2MapOptimization,28.105
1776241296896878727,scan2MapOptimization,25.675
1776241297091791696,scan2MapOptimization,25.151
1776241297300762814,scan2MapOptimization,28.984
1776241297494555851,scan2MapOptimization,28.238
1776241297691989122,scan2MapOptimization,23.599
1776241297888432826,scan2MapOptimization,21.596
1776241298096173273,scan2MapOptimization,23.707
1776241298288363970,scan2MapOptimization,22.260
1776241298492190080,scan2MapOptimization,22.427
1776241298696415904,scan2MapOptimization,26.424
1776241298891875254,scan2MapOptimization,24.296
1776241299094961729,scan2MapOptimization,25.936
1776241299304850545,scan2MapOptimization,32.780
1776241299497165530,scan2MapOptimization,25.717
1776241299694307789,scan2MapOptimization,26.115
1776241299892234287,scan2MapOptimization,21.918
1776241300098340338,scan2MapOptimization,27.427
1776241300291117501,scan2MapOptimization,22.081
1776241300492750406,scan2MapOptimization,24.958
1776241300697849888,scan2MapOptimization,22.823
1776241300890139600,scan2MapOptimization,21.697
1776241301088417293,scan2MapOptimization,22.324
1776241301295804982,scan2MapOptimization,25.171
1776241301498591681,scan2MapOptimization,26.839
1776241301694017745,scan2MapOptimization,25.028
1776241301891170363,scan2MapOptimization,24.335
1776241302092571168,scan2MapOptimization,20.609
1776241302298077731,scan2MapOptimization,24.884
1776241302490450888,scan2MapOptimization,22.130
1776241302693623359,scan2MapOptimization,23.174
1776241302901905502,scan2MapOptimization,31.881
1776241303093220549,scan2MapOptimization,24.173
1776241303296270913,scan2MapOptimization,22.373
1776241303502167219,scan2MapOptimization,28.893
1776241303697024255,scan2MapOptimization,25.844
1776241303896274505,scan2MapOptimization,23.996
1776241304097386654,scan2MapOptimization,26.035
1776241304295235326,scan2MapOptimization,23.968
1776241304499119061,scan2MapOptimization,30.586
1776241304701423283,scan2MapOptimization,26.833
1776241304893046263,scan2MapOptimization,23.200
1776241305091806806,scan2MapOptimization,20.281
1776241305302250107,scan2MapOptimization,25.812
1776241305496030038,scan2MapOptimization,26.256
1776241305701644029,scan2MapOptimization,24.540
1776241305895318562,scan2MapOptimization,24.131
1776241306102837745,scan2MapOptimization,26.059
1776241306294119752,scan2MapOptimization,21.390
1776241306493049534,scan2MapOptimization,25.922
1776241306699494435,scan2MapOptimization,28.826
1776241306900746857,scan2MapOptimization,22.911
1776241307094776729,scan2MapOptimization,22.665
1776241307292501860,scan2MapOptimization,21.236
1776241307488966591,scan2MapOptimization,19.476
1776241307698275786,scan2MapOptimization,20.308
1776241307898216092,scan2MapOptimization,25.250
1776241308090476539,scan2MapOptimization,22.312
1776241308292838067,scan2MapOptimization,23.692
1776241308489970132,scan2MapOptimization,19.952
1776241308690923000,scan2MapOptimization,21.312
1776241308893622181,scan2MapOptimization,22.007
1776241309086796997,scan2MapOptimization,20.213
1776241309290867736,scan2MapOptimization,24.138
1776241309487939307,scan2MapOptimization,18.358
1776241309689067955,scan2MapOptimization,21.553
1776241309887753351,scan2MapOptimization,18.239
1776241310090981268,scan2MapOptimization,16.195
1776241310294562971,scan2MapOptimization,20.377
1776241310488979623,scan2MapOptimization,21.868
1776241310693076815,scan2MapOptimization,18.610
1776241310889624157,scan2MapOptimization,21.149
1776241311090799212,scan2MapOptimization,20.830
1776241311290092991,scan2MapOptimization,21.696
1776241311489447214,scan2MapOptimization,18.073
1776241311692845219,scan2MapOptimization,19.196
1776241311887194490,scan2MapOptimization,20.440
1776241312085821241,scan2MapOptimization,19.898
1776241312286000946,scan2MapOptimization,17.417
1776241312498289552,scan2MapOptimization,23.838
1776241312686683941,scan2MapOptimization,19.187
1776241312888756551,scan2MapOptimization,21.215
1776241313090688271,scan2MapOptimization,17.350
1776241313284757716,scan2MapOptimization,17.583
1776241313485118095,scan2MapOptimization,18.079
1776241313686947189,scan2MapOptimization,18.876
1776241313894238620,scan2MapOptimization,21.197
1776241314097970577,scan2MapOptimization,24.956
1776241314286586573,scan2MapOptimization,18.849
1776241314482718709,scan2MapOptimization,15.630
1776241314687416162,scan2MapOptimization,17.895
1776241314885852932,scan2MapOptimization,18.502
1776241315088197251,scan2MapOptimization,20.209
1776241315290200694,scan2MapOptimization,20.040
1776241315491870981,scan2MapOptimization,23.007
1776241315691421392,scan2MapOptimization,19.748
1776241315887865499,scan2MapOptimization,20.266
1776241316085695039,scan2MapOptimization,18.793
1776241316292834541,scan2MapOptimization,23.801
1776241316491846020,scan2MapOptimization,24.429
1776241316689147710,scan2MapOptimization,23.276
1776241316890723874,scan2MapOptimization,23.246
1776241317088842979,scan2MapOptimization,18.836
1776241317291046144,scan2MapOptimization,20.063
1776241317497707904,scan2MapOptimization,22.128
1776241317690444859,scan2MapOptimization,19.115
1776241317889189057,scan2MapOptimization,21.083
1776241318086962018,scan2MapOptimization,21.666
1776241318291392264,scan2MapOptimization,18.032
1776241318493473282,scan2MapOptimization,23.685
1776241318691096578,scan2MapOptimization,22.805
1776241318888231292,scan2MapOptimization,21.973
1776241319084423813,scan2MapOptimization,18.723
1776241319293005352,scan2MapOptimization,18.661
1776241319490897851,scan2MapOptimization,22.341
1776241319693523508,scan2MapOptimization,23.441
1776241319893629005,scan2MapOptimization,22.992
1776241320091666887,scan2MapOptimization,23.651
1776241320287811553,scan2MapOptimization,16.088
1776241320483019254,scan2MapOptimization,15.627
1776241320691918501,scan2MapOptimization,21.994
1776241320889437777,scan2MapOptimization,21.285
1776241321090046926,scan2MapOptimization,19.822
1776241321298522983,scan2MapOptimization,25.708
1776241321501165801,scan2MapOptimization,26.183
1776241321704000766,scan2MapOptimization,27.771
1776241321895105202,scan2MapOptimization,23.228
1776241322093586136,scan2MapOptimization,26.036
1776241322292986316,scan2MapOptimization,25.316
1776241322497355339,scan2MapOptimization,23.896
1776241322699197832,scan2MapOptimization,27.656
1776241322896771319,scan2MapOptimization,25.782
1776241323100911621,scan2MapOptimization,24.491
1776241323292182084,scan2MapOptimization,20.451
1776241323498299338,scan2MapOptimization,25.630
1776241323688727582,scan2MapOptimization,21.029
1776241323901236216,scan2MapOptimization,28.905
1776241324093453823,scan2MapOptimization,25.578
1776241324296781297,scan2MapOptimization,27.598
1776241324493446612,scan2MapOptimization,22.940
1776241324689710965,scan2MapOptimization,16.040
